,sex,college,age,vote
0,1,0,35-46,1
1,1,1,65-79,2
2,2,1,26-34,1
3,2,0,80+,1
4,2,0,65-79,1
5,1,1,26-34,2
6,2,0,47-65,1
7,1,1,65-79,1
8,2,0,18-25,1
9,1,0,35-46,1
10,1,0,65-79,2
11,2,0,65-79,2
12,2,1,47-65,1
13,2,1,65-79,2
14,1,0,35-46,2
15,2,0,47-65,1
16,2,0,47-65,1
17,2,1,26-34,1
18,2,0,65-79,1
19,1,1,35-46,1
20,1,0,47-65,2
21,2,1,47-65,1
22,1,0,47-65,1
23,1,0,47-65,1
24,2,1,65-79,2
25,2,0,35-46,2
26,1,1,35-46,2
27,2,1,35-46,1
28,2,1,47-65,1
29,1,1,26-34,1
30,2,1,65-79,1
31,2,0,47-65,2
32,1,1,35-46,1
33,1,0,47-65,1
34,2,1,65-79,1
35,2,1,65-79,2
36,1,1,35-46,1
37,2,1,26-34,2
38,2,1,26-34,1
39,1,0,26-34,1
40,2,1,18-25,1
41,2,1,47-65,2
42,1,1,26-34,1
43,1,0,47-65,1
44,2,0,47-65,2
45,1,0,47-65,2
46,2,1,35-46,1
47,2,1,35-46,2
48,1,1,47-65,2
49,2,1,65-79,1
50,2,1,47-65,1
51,2,1,65-79,1
52,2,1,18-25,1
53,2,0,35-46,1
54,2,0,35-46,2
55,2,1,18-25,2
56,1,0,47-65,2
57,1,0,65-79,1
58,1,1,65-79,1
59,2,0,65-79,1
60,1,1,26-34,1
61,2,1,65-79,2
62,1,1,26-34,2
63,2,0,65-79,2
64,1,1,26-34,1
65,1,0,35-46,1
66,2,0,47-65,2
67,1,0,47-65,2
68,2,1,47-65,2
69,2,0,47-65,1
70,1,0,65-79,2
71,1,1,47-65,1
72,2,0,80+,1
73,2,0,47-65,1
74,1,1,65-79,1
75,1,1,35-46,2
76,2,1,65-79,2
77,2,0,35-46,1
78,2,1,47-65,1
79,1,1,47-65,2
80,1,0,35-46,2
81,2,0,47-65,2
82,1,1,65-79,1
83,2,0,47-65,1
84,1,0,65-79,1
85,1,1,35-46,1
86,2,1,47-65,2
87,2,1,47-65,1
88,2,1,65-79,1
89,2,0,65-79,1
90,2,1,47-65,1
91,2,1,47-65,1
92,2,0,80+,2
93,1,1,26-34,1
94,2,0,35-46,1
95,1,1,26-34,2
96,2,0,18-25,2
97,1,0,65-79,2
98,2,1,26-34,2
99,1,0,47-65,1
100,1,0,35-46,2
101,2,1,47-65,1
102,2,0,47-65,2
103,2,0,65-79,1
104,1,1,65-79,2
105,1,1,80+,2
106,2,0,65-79,1
107,2,1,35-46,1
108,2,1,47-65,2
109,2,0,47-65,2
110,1,1,26-34,1
111,1,1,47-65,1
112,1,0,65-79,2
113,2,1,65-79,1
114,1,0,65-79,2
115,1,1,35-46,1
116,1,0,35-46,2
117,1,0,18-25,1
118,1,0,47-65,1
119,1,0,65-79,2
120,2,1,35-46,1
121,1,0,47-65,2
122,2,1,35-46,1
123,2,1,26-34,1
124,2,1,35-46,1
125,2,1,35-46,1
126,1,0,18-25,2
127,1,1,26-34,2
128,2,0,47-65,1
129,1,1,65-79,2
130,1,0,35-46,2
131,2,1,65-79,2
132,1,0,18-25,1
133,2,1,47-65,2
134,1,1,47-65,1
135,1,1,35-46,2
136,2,1,80+,2
137,1,1,35-46,2
138,2,0,47-65,2
139,1,1,26-34,2
140,2,1,35-46,1
141,1,0,65-79,2
142,1,0,47-65,2
143,2,0,65-79,1
144,1,0,65-79,2
145,2,0,47-65,1
146,2,1,35-46,1
147,2,0,80+,2
148,1,1,65-79,1
149,1,1,26-34,2
150,1,0,47-65,1
151,1,1,65-79,1
152,2,0,18-25,1
153,2,1,26-34,1
154,1,1,65-79,2
155,1,0,47-65,1
156,2,0,65-79,1
157,1,0,47-65,1
158,2,1,35-46,2
159,2,0,80+,1
160,2,0,65-79,1
161,1,1,47-65,2
162,1,0,47-65,1
163,2,1,65-79,2
164,1,0,65-79,2
165,1,0,35-46,2
166,1,1,47-65,1
167,1,1,35-46,2
168,2,1,35-46,1
169,1,0,47-65,1
170,2,0,47-65,1
171,1,1,26-34,2
172,2,1,47-65,1
173,2,0,80+,1
174,2,1,65-79,1
175,1,1,26-34,1
176,2,0,80+,1
177,2,0,47-65,2
178,2,0,65-79,2
179,1,1,35-46,2
180,2,0,80+,2
181,2,1,35-46,1
182,1,0,47-65,1
183,2,0,80+,2
184,2,1,65-79,2
185,2,1,47-65,1
186,2,1,26-34,1
187,1,0,47-65,2
188,1,0,35-46,1
189,2,0,47-65,2
190,2,1,47-65,2
191,1,1,65-79,2
192,1,0,47-65,1
193,1,1,65-79,2
194,2,1,65-79,1
195,1,1,65-79,1
196,2,1,47-65,1
197,1,1,35-46,2
198,2,0,26-34,2
199,2,0,65-79,2
200,1,1,47-65,2
201,2,1,47-65,2
202,2,0,65-79,2
203,1,1,65-79,1
204,1,0,35-46,2
205,2,1,47-65,1
206,1,0,65-79,2
207,2,0,35-46,2
208,1,1,65-79,2
209,2,0,80+,2
210,2,0,80+,2
211,2,1,35-46,2
212,2,1,26-34,1
213,1,1,26-34,1
214,1,1,47-65,2
215,1,0,80+,1
216,2,1,26-34,2
217,2,1,47-65,1
218,2,0,35-46,2
219,2,0,47-65,2
220,1,1,47-65,1
221,2,1,35-46,2
222,1,0,35-46,2
223,2,1,80+,1
224,2,1,47-65,2
225,1,0,65-79,1
226,1,1,65-79,1
227,2,1,65-79,1
228,2,1,65-79,2
229,1,1,26-34,1
230,1,1,35-46,2
231,1,0,47-65,2
232,1,0,65-79,2
233,1,1,65-79,2
234,2,1,47-65,1
235,2,1,47-65,1
236,1,1,35-46,2
237,2,1,26-34,2
238,1,1,47-65,2
239,2,1,47-65,2
240,1,1,47-65,1
241,2,1,35-46,1
242,2,0,80+,2
243,2,1,47-65,1
244,2,0,47-65,1
245,1,1,35-46,1
246,2,1,35-46,1
247,1,1,35-46,2
248,1,1,47-65,2
249,1,0,35-46,1
250,1,0,65-79,1
251,1,1,65-79,1
252,2,0,47-65,1
253,1,1,35-46,1
254,2,0,47-65,1
255,2,0,26-34,2
256,1,0,18-25,1
257,1,0,35-46,1
258,1,0,35-46,2
259,1,1,65-79,1
260,1,0,80+,1
261,1,1,47-65,2
262,2,1,35-46,1
263,1,0,26-34,1
264,1,0,18-25,1
265,2,1,80+,2
266,1,1,35-46,1
267,2,1,65-79,1
268,2,0,65-79,2
269,2,0,47-65,2
270,2,0,65-79,1
271,1,1,18-25,1
272,1,1,47-65,2
273,1,0,47-65,1
274,1,0,47-65,1
275,1,1,35-46,2
276,1,1,47-65,1
277,2,0,47-65,2
278,2,1,18-25,1
279,2,1,65-79,1
280,2,1,80+,1
281,2,0,47-65,2
282,1,0,47-65,1
283,2,1,26-34,1
284,2,1,80+,2
285,1,0,26-34,1
286,2,1,26-34,2
287,1,1,65-79,2
288,1,0,47-65,2
289,1,1,35-46,1
290,2,0,35-46,1
291,1,1,65-79,1
292,2,1,47-65,1
293,1,1,65-79,1
294,1,1,65-79,1
295,1,0,65-79,1
296,2,0,47-65,1
297,2,1,47-65,1
298,2,0,47-65,1
299,2,0,18-25,2
300,2,1,35-46,1
301,2,1,47-65,1
302,2,0,47-65,2
303,1,1,65-79,2
304,1,1,65-79,1
305,1,1,35-46,1
306,2,0,35-46,2
307,1,1,35-46,1
308,2,0,47-65,1
309,1,0,47-65,2
310,2,1,47-65,1
311,1,1,35-46,2
312,2,1,35-46,1
313,1,0,18-25,2
314,2,1,26-34,1
315,1,0,47-65,2
316,1,0,80+,1
317,2,1,35-46,1
318,2,1,35-46,1
319,2,1,26-34,1
320,1,0,65-79,1
321,1,1,47-65,1
322,1,0,18-25,1
323,2,1,80+,2
324,2,1,47-65,1
325,2,1,35-46,1
326,2,1,35-46,1
327,1,1,80+,1
328,2,1,65-79,2
329,2,0,18-25,1
330,1,1,26-34,1
331,1,1,35-46,1
332,2,1,35-46,1
333,2,0,65-79,1
334,1,1,35-46,1
335,2,0,65-79,1
336,1,0,47-65,1
337,1,0,65-79,2
338,2,0,47-65,2
339,2,1,47-65,2
340,2,1,47-65,1
341,2,1,35-46,1
342,1,1,26-34,2
343,2,0,65-79,1
344,2,1,47-65,1
345,2,1,65-79,2
346,1,1,47-65,1
347,2,0,35-46,1
348,2,1,35-46,2
349,1,0,35-46,1
350,2,0,65-79,1
351,1,1,65-79,1
352,1,0,18-25,1
353,1,1,47-65,1
354,2,1,35-46,2
355,1,1,80+,2
356,2,1,47-65,1
357,2,0,80+,2
358,1,1,47-65,2
359,2,1,47-65,2
360,1,0,26-34,2
361,1,1,47-65,2
362,2,1,47-65,1
363,2,1,18-25,1
364,2,1,65-79,2
365,2,0,47-65,2
366,2,1,35-46,1
367,2,1,65-79,1
368,2,0,80+,1
369,2,0,80+,1
370,1,1,47-65,2
371,2,1,35-46,2
372,2,0,65-79,1
373,1,1,65-79,1
374,1,1,26-34,2
375,2,1,65-79,2
